k,t,I,SOC_true,SOC_est,T_true,T_est,H_est,V_true,V_meas,V_est,R0_true,R0_model,R1_true,R1_model,C1_true,C1_model
0,1.00,1.0000,0.79989,0.69685,20.00,24.98,0.03369,3.5238,3.5251,3.5248,0.030802,0.026416,0.006881,0.010446,1455.95,1155.28
1,2.00,1.0000,0.79978,0.73820,20.00,25.00,0.04652,3.5243,3.5406,3.5336,0.030803,0.025953,0.006881,0.010083,1455.89,1173.26
2,3.00,1.0000,0.79967,0.68208,20.00,24.99,0.03058,3.5248,3.5148,3.5234,0.030805,0.026593,0.006882,0.010579,1455.84,1149.11
3,4.00,1.0000,0.79956,0.69990,20.00,24.99,0.03489,3.5252,3.5279,3.5247,0.030807,0.026388,0.006883,0.010421,1455.78,1156.74
4,5.00,1.0000,0.79944,0.72821,20.00,25.00,0.04234,3.5256,3.5379,3.5307,0.030808,0.026068,0.006884,0.010171,1455.73,1168.98
5,6.00,1.0000,0.79933,0.70862,20.00,24.99,0.03810,3.5259,3.5190,3.5253,0.030810,0.026289,0.006884,0.010344,1455.67,1160.51
6,7.00,1.0000,0.79922,0.71227,20.00,24.98,0.03874,3.5262,3.5274,3.5258,0.030812,0.026241,0.006885,0.010310,1455.62,1161.92
7,8.00,1.0000,0.79911,0.72636,20.00,24.97,0.04068,3.5265,3.5377,3.5303,0.030814,0.026069,0.006886,0.010182,1455.56,1167.73
8,9.00,1.0000,0.79900,0.71684,20.00,24.97,0.04016,3.5267,3.5216,3.5270,0.030815,0.026178,0.006887,0.010266,1455.51,1163.66
9,10.00,1.0000,0.79889,0.70892,20.00,24.97,0.04044,3.5269,3.5192,3.5240,0.030817,0.026269,0.006887,0.010336,1455.45,1160.26
10,11.00,1.0000,0.79878,0.72243,20.00,24.95,0.03901,3.5270,3.5377,3.5285,0.030819,0.026099,0.006888,0.010212,1455.40,1165.71
11,12.00,1.0000,0.79867,0.71220,20.00,24.95,0.04064,3.5271,3.5177,3.5248,0.030820,0.026217,0.006889,0.010303,1455.34,1161.36
12,13.00,1.0000,0.79856,0.71429,20.00,24.94,0.04005,3.5273,3.5268,3.5253,0.030822,0.026186,0.006890,0.010282,1455.29,1162.09
13,14.00,1.0000,0.79844,0.72161,20.00,24.92,0.03783,3.5273,3.5326,3.5275,0.030824,0.026092,0.006890,0.010215,1455.23,1165.00
14,15.00,1.0000,0.79833,0.72870,20.00,24.91,0.03533,3.5274,3.5344,3.5295,0.030825,0.026001,0.006891,0.010149,1455.18,1167.82
15,16.00,1.0000,0.79822,0.73908,20.00,24.90,0.03131,3.5275,3.5395,3.5325,0.030827,0.025872,0.006892,0.010054,1455.13,1172.02
16,17.00,1.0000,0.79811,0.73969,20.00,24.89,0.03114,3.5275,3.5335,3.5327,0.030829,0.025859,0.006892,0.010047,1455.07,1172.14
17,18.00,1.0000,0.79800,0.73034,20.00,24.90,0.03139,3.5276,3.5105,3.5264,0.030830,0.025973,0.006893,0.010132,1455.02,1168.31
18,19.00,1.0000,0.79789,0.73250,20.00,24.89,0.03073,3.5276,3.5299,3.5274,0.030832,0.025940,0.006894,0.010110,1454.96,1169.05
19,20.00,1.0000,0.79778,0.74424,20.00,24.87,0.02609,3.5276,3.5422,3.5315,0.030834,0.025792,0.006895,0.010002,1454.91,1173.76
20,21.00,1.0000,0.79767,0.74353,20.00,24.86,0.02626,3.5276,3.5303,3.5311,0.030835,0.025795,0.006895,0.010007,1454.85,1173.34
21,22.00,1.0000,0.79756,0.74297,20.00,24.85,0.02631,3.5276,3.5298,3.5307,0.030837,0.025796,0.006896,0.010011,1454.80,1172.99
22,23.00,1.0000,0.79744,0.74137,20.00,24.85,0.02617,3.5276,3.5249,3.5291,0.030839,0.025812,0.006897,0.010024,1454.74,1172.24
