phase,k,t,I,soc_true,soc_model,V_true,V_model,R0_true,R0_model,R1_true,R1_model,C1_true,C1_model
0,0,1.0,-1.0000,0.5001,0.5001,3.3891,3.3891,0.024999,0.024999,0.010999,0.010999,1000.05,1000.05
0,1,2.0,-1.0000,0.5002,0.5002,3.3882,3.3882,0.024998,0.024998,0.010998,0.010998,1000.09,1000.09
0,2,3.0,-1.0000,0.5003,0.5003,3.3875,3.3875,0.024997,0.024997,0.010997,0.010997,1000.14,1000.14
0,3,4.0,-1.0000,0.5004,0.5004,3.3868,3.3868,0.024996,0.024996,0.010997,0.010997,1000.18,1000.18
0,4,5.0,-1.0000,0.5006,0.5006,3.3862,3.3862,0.024995,0.024995,0.010996,0.010996,1000.23,1000.23
0,5,6.0,-1.0000,0.5007,0.5007,3.3857,3.3857,0.024994,0.024994,0.010995,0.010995,1000.28,1000.28
0,6,7.0,-1.0000,0.5008,0.5008,3.3852,3.3852,0.024993,0.024993,0.010994,0.010994,1000.32,1000.32
0,7,8.0,-1.0000,0.5009,0.5009,3.3847,3.3847,0.024992,0.024992,0.010993,0.010993,1000.37,1000.37
0,8,9.0,-1.0000,0.5010,0.5010,3.3843,3.3843,0.024991,0.024991,0.010992,0.010992,1000.42,1000.42
0,9,10.0,-1.0000,0.5011,0.5011,3.3840,3.3840,0.024990,0.024990,0.010991,0.010991,1000.46,1000.46
0,10,11.0,-1.0000,0.5012,0.5012,3.3837,3.3837,0.024989,0.024989,0.010991,0.010991,1000.51,1000.51
0,11,12.0,-1.0000,0.5013,0.5013,3.3834,3.3834,0.024988,0.024988,0.010990,0.010990,1000.55,1000.55
0,12,13.0,-1.0000,0.5014,0.5014,3.3831,3.3831,0.024987,0.024987,0.010989,0.010989,1000.60,1000.60
0,13,14.0,-1.0000,0.5016,0.5016,3.3829,3.3829,0.024986,0.024986,0.010988,0.010988,1000.65,1000.65
0,14,15.0,-1.0000,0.5017,0.5017,3.3827,3.3827,0.024985,0.024985,0.010987,0.010987,1000.69,1000.69
0,15,16.0,-1.0000,0.5018,0.5018,3.3826,3.3826,0.024984,0.024984,0.010986,0.010986,1000.74,1000.74
0,16,17.0,-1.0000,0.5019,0.5019,3.3824,3.3824,0.024983,0.024983,0.010985,0.010985,1000.78,1000.78
0,17,18.0,-1.0000,0.5020,0.5020,3.3823,3.3823,0.024982,0.024982,0.010985,0.010985,1000.83,1000.83
0,18,19.0,-1.0000,0.5021,0.5021,3.3822,3.3822,0.024981,0.024981,0.010984,0.010984,1000.88,1000.88
0,19,20.0,-1.0000,0.5022,0.5022,3.3821,3.3821,0.024979,0.024979,0.010983,0.010983,1000.92,1000.92
0,20,21.0,-1.0000,0.5023,0.5023,3.3820,3.3820,0.024978,0.024978,0.010982,0.010982,1000.97,1000.97
0,21,22.0,-1.0000,0.5024,0.5024,3.3820,3.3820,0.024977,0.024977,0.010981,0.010981,1001.02,1001.02
0,22,23.0,-1.0000,0.5026,0.5026,3.3819,3.3819,0.024976,0.024976,0.010980,0.010980,1001.06,1001.06
0,23,24.0,-1.0000,0.5027,0.5027,3.3819,3.3819,0.024975,0.024975,0.010979,0.010979,1001.11,1001.11
0,24,25.0,-1.0000,0.5028,0.5028,3.3819,3.3819,0.024974,0.024974,0.010978,0.010978,1001.15,1001.15
0,25,26.0,-1.0000,0.5029,0.5029,3.3818,3.3818,0.024973,0.024973,0.010978,0.010978,1001.20,1001.20
0,26,27.0,-1.0000,0.5030,0.5030,3.3818,3.3818,0.024972,0.024972,0.010977,0.010977,1001.25,1001.25
0,27,28.0,-1.0000,0.5031,0.5031,3.3818,3.3818,0.024971,0.024971,0.010976,0.010976,1001.29,1001.29
0,28,29.0,-1.0000,0.5032,0.5032,3.3818,3.3818,0.024970,0.024970,0.010975,0.010975,1001.34,1001.34
0,29,30.0,-1.0000,0.5033,0.5033,3.3818,3.3818,0.024969,0.024969,0.010974,0.010974,1001.38,1001.38
0,30,31.0,-1.0000,0.5034,0.5034,3.3819,3.3819,0.024968,0.024968,0.010973,0.010973,1001.43,1001.43
0,31,32.0,-1.0000,0.5036,0.5036,3.3819,3.3819,0.024967,0.024967,0.010972,0.010972,1001.48,1001.48
0,32,33.0,-1.0000,0.5037,0.5037,3.3819,3.3819,0.024966,0.024966,0.010972,0.010972,1001.52,1001.52
0,33,34.0,-1.0000,0.5038,0.5038,3.3819,3.3819,0.024965,0.024965,0.010971,0.010971,1001.57,1001.57
0,34,35.0,-1.0000,0.5039,0.5039,3.3820,3.3820,0.024964,0.024964,0.010970,0.010970,1001.62,1001.62
0,35,36.0,-1.0000,0.5040,0.5040,3.3820,3.3820,0.024963,0.024963,0.010969,0.010969,1001.66,1001.66
0,36,37.0,-1.0000,0.5041,0.5041,3.3821,3.3821,0.024962,0.024962,0.010968,0.010968,1001.71,1001.71
0,37,38.0,-1.0000,0.5042,0.5042,3.3821,3.3821,0.024961,0.024961,0.010967,0.010967,1001.75,1001.75
0,38,39.0,-1.0000,0.5043,0.5043,3.3822,3.3822,0.024960,0.024960,0.010966,0.010966,1001.80,1001.80
0,39,40.0,-1.0000,0.5044,0.5044,3.3822,3.3822,0.024959,0.024959,0.010966,0.010966,1001.85,1001.85
0,40,41.0,-1.0000,0.5046,0.5046,3.3823,3.3823,0.024958,0.024958,0.010965,0.010965,1001.89,1001.89
0,41,42.0,-1.0000,0.5047,0.5047,3.3823,3.3823,0.024957,0.024957,0.010964,0.010964,1001.94,1001.94
0,42,43.0,-1.0000,0.5048,0.5048,3.3824,3.3824,0.024956,0.024956,0.010963,0.010963,1001.98,1001.98
0,43,44.0,-1.0000,0.5049,0.5049,3.3824,3.3824,0.024955,0.024955,0.010962,0.010962,1002.03,1002.03
0,44,45.0,-1.0000,0.5050,0.5050,3.3825,3.3825,0.024954,0.024954,0.010961,0.010961,1002.08,1002.08
0,45,46.0,-1.0000,0.5051,0.5051,3.3825,3.3825,0.024953,0.024953,0.010960,0.010960,1002.12,1002.12
0,46,47.0,-1.0000,0.5052,0.5052,3.3826,3.3826,0.024952,0.024952,0.010960,0.010960,1002.17,1002.17
0,47,48.0,-1.0000,0.5053,0.5053,3.3827,3.3827,0.024951,0.024951,0.010959,0.010959,1002.21,1002.21
0,48,49.0,-1.0000,0.5054,0.5054,3.3827,3.3827,0.024950,0.024950,0.010958,0.010958,1002.26,1002.26
0,49,50.0,-1.0000,0.5056,0.5056,3.3828,3.3828,0.024949,0.024949,0.010957,0.010957,1002.31,1002.31
0,50,51.0,-1.0000,0.5057,0.5057,3.3829,3.3829,0.024948,0.024948,0.010956,0.010956,1002.35,1002.35
0,51,52.0,-1.0000,0.5058,0.5058,3.3829,3.3829,0.024947,0.024947,0.010955,0.010955,1002.40,1002.40
0,52,53.0,-1.0000,0.5059,0.5059,3.3830,3.3830,0.024946,0.024946,0.010954,0.010954,1002.44,1002.44
0,53,54.0,-1.0000,0.5060,0.5060,3.3831,3.3831,0.024945,0.024945,0.010953,0.010953,1002.49,1002.49
0,54,55.0,-1.0000,0.5061,0.5061,3.3831,3.3831,0.024943,0.024943,0.010953,0.010953,1002.54,1002.54
0,55,56.0,-1.0000,0.5062,0.5062,3.3832,3.3832,0.024942,0.024942,0.010952,0.010952,1002.58,1002.58
0,56,57.0,-1.0000,0.5063,0.5063,3.3833,3.3833,0.024941,0.024941,0.010951,0.010951,1002.63,1002.63
0,57,58.0,-1.0000,0.5064,0.5064,3.3833,3.3833,0.024940,0.024940,0.010950,0.010950,1002.67,1002.67
0,58,59.0,-1.0000,0.5066,0.5066,3.3834,3.3834,0.024939,0.024939,0.010949,0.010949,1002.72,1002.72
0,59,60.0,-1.0000,0.5067,0.5067,3.3835,3.3835,0.024938,0.024938,0.010948,0.010948,1002.77,1002.77
0,60,61.0,-1.0000,0.5068,0.5068,3.3836,3.3836,0.024937,0.024937,0.010947,0.010947,1002.81,1002.81
0,61,62.0,-1.0000,0.5069,0.5069,3.3836,3.3836,0.024936,0.024936,0.010947,0.010947,1002.86,1002.86
0,62,63.0,-1.0000,0.5070,0.5070,3.3837,3.3837,0.024935,0.024935,0.010946,0.010946,1002.90,1002.90
0,63,64.0,-1.0000,0.5071,0.5071,3.3838,3.3838,0.024934,0.024934,0.010945,0.010945,1002.95,1002.95
0,64,65.0,-1.0000,0.5072,0.5072,3.3838,3.3838,0.024933,0.024933,0.010944,0.010944,1003.00,1003.00
0,65,66.0,-1.0000,0.5073,0.5073,3.3839,3.3839,0.024932,0.024932,0.010943,0.010943,1003.04,1003.04
